City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Labuhan,ID,79.61,broken clouds,-6.8844,112.2051,DoubleFAG
1,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Sur,OM,84.97,clear sky,22.5667,59.5289,Sur Plaza Hotel
7,Manono,CD,72.03,overcast clouds,-7.3,27.4167,Hotel hewa bora
10,Atuona,PF,79.11,clear sky,-9.8,-139.0333,Villa Enata
11,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
12,Bilma,NE,81.16,clear sky,18.6853,12.9164,Expeditions Ténére voyages
20,Black River,JM,80.37,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
22,Dargaville,NZ,71.35,broken clouds,-35.9333,173.8833,Parkview Motel
29,Faanui,PF,80.19,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Kendari,ID,76.14,overcast clouds,-3.945,122.4989,Hotel Wixel
32,Port Alfred,ZA,70.56,clear sky,-33.5906,26.891,The Halyards Hotel
35,Kibala,TD,81.5,few clouds,9.1104,18.3463,hotel safari
37,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Rikitea,PF,77.4,few clouds,-23.1203,-134.9692,People ThankYou
39,Santa Ana,US,85.95,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
42,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Namakkal,IN,78.19,overcast clouds,11.2213,78.1652,Coastal Grand's Hotel Coastal Residency
53,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
58,Balaipungut,ID,74.41,overcast clouds,1.05,101.2833,
60,Tura,IN,72.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
65,Indija,IN,88.02,clear sky,20.0,77.0,Sunil malekar
68,Victoria,HK,70.25,broken clouds,22.2855,114.1577,Mini Central
69,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
71,Elko,US,78.82,scattered clouds,41.0002,-115.5012,
72,La Romana,DO,80.96,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
74,Tiarei,PF,86.02,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
75,Saint-Pierre,RE,71.28,broken clouds,-21.3393,55.4781,Alize Plage
78,Mackay,AU,79.68,clear sky,-21.15,149.2,International Lodge Motel
79,Santa Ines,BR,75.13,overcast clouds,-3.6667,-45.38,Palace hotel
80,Davila,PH,80.58,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
89,Tautira,PF,81.27,scattered clouds,-17.7333,-149.15,Pension Oaoa
92,Hithadhoo,MV,84.18,overcast clouds,-0.6,73.0833,Scoop Guest House
94,Arraial Do Cabo,BR,71.83,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
98,Rincon,US,82.36,scattered clouds,32.296,-81.2354,Days Inn Rincon
100,Laguna,US,85.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
104,Alugan,PH,83.82,overcast clouds,12.2188,125.4808,JM Lodge
108,Namibe,AO,72.09,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
111,Butaritari,KI,82.6,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
115,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
117,Mayumba,GA,77.14,overcast clouds,-3.432,10.6554,LIKWALE LODGE
118,Cayenne,GF,76.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
123,Namatanai,PG,84.45,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
124,Hilo,US,84.27,haze,19.7297,-155.09,Hilo Hawaiian Hotel
129,Port Blair,IN,83.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
130,Santa Isabel Do Rio Negro,BR,73.51,overcast clouds,-0.4139,-65.0192,Hotel GSA
132,Magoula,GR,71.87,few clouds,38.0833,23.5167,Elefsina Hotel
135,Salinopolis,BR,80.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
