City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Labuhan,-6.8844,112.2051,79.61,82,71,6.22,broken clouds,ID,2022-05-16 23:32:30
1,Mahebourg,-20.4081,57.7,75.49,73,75,11.5,broken clouds,MU,2022-05-16 23:32:31
2,Wum,6.3833,10.0667,66.54,91,100,2.26,overcast clouds,CM,2022-05-16 23:32:32
3,Albany,42.6001,-73.9662,63.27,93,95,10.96,overcast clouds,US,2022-05-16 23:29:33
4,Sur,22.5667,59.5289,84.97,37,0,5.57,clear sky,OM,2022-05-16 23:32:33
5,Hermanus,-34.4187,19.2345,66.79,46,90,2.66,overcast clouds,ZA,2022-05-16 23:32:33
6,Berdigestyakh,62.0989,126.6992,37.18,80,100,3.58,overcast clouds,RU,2022-05-16 23:32:35
7,Manono,-7.3,27.4167,72.03,67,86,3.04,overcast clouds,CD,2022-05-16 23:32:35
8,Dunedin,-45.8742,170.5036,60.8,70,98,5.99,overcast clouds,NZ,2022-05-16 23:32:36
9,Busselton,-33.65,115.3333,58.71,65,62,10.45,broken clouds,AU,2022-05-16 23:32:37
10,Atuona,-9.8,-139.0333,79.11,66,8,15.3,clear sky,PF,2022-05-16 23:32:37
11,Georgetown,5.4112,100.3354,78.73,94,20,3.44,few clouds,MY,2022-05-16 23:30:21
12,Bilma,18.6853,12.9164,81.16,12,0,5.28,clear sky,NE,2022-05-16 23:32:39
13,Mataura,-46.1927,168.8643,54.48,82,100,3.58,overcast clouds,NZ,2022-05-16 23:32:39
14,Luderitz,-26.6481,15.1594,73.81,28,3,6.42,clear sky,NA,2022-05-16 23:32:40
15,Trogir,43.5125,16.2517,69.89,72,0,3.44,clear sky,HR,2022-05-16 23:32:41
16,Ulladulla,-35.35,150.4667,61.23,49,0,5.84,clear sky,AU,2022-05-16 23:32:42
17,Mandalgovi,45.7625,106.2708,55.74,30,6,12.26,clear sky,MN,2022-05-16 23:32:42
18,Korla,41.7597,86.1469,69.03,34,95,10.38,overcast clouds,CN,2022-05-16 23:32:43
19,East London,-33.0153,27.9116,68.13,53,0,8.01,clear sky,ZA,2022-05-16 23:32:44
20,Black River,18.0264,-77.8487,80.37,77,99,10.98,overcast clouds,JM,2022-05-16 23:32:45
21,Palmer,42.1584,-72.3287,66.92,83,75,3.44,broken clouds,US,2022-05-16 23:32:46
22,Dargaville,-35.9333,173.8833,71.35,66,74,12.68,broken clouds,NZ,2022-05-16 23:32:46
23,Norman Wells,65.282,-126.8329,59.04,38,20,4.61,few clouds,CA,2022-05-16 23:32:47
24,Sechura,-5.5569,-80.8222,68.97,75,46,13.91,scattered clouds,PE,2022-05-16 23:32:48
25,Leningradskiy,69.3833,178.4167,28.99,87,100,12.95,overcast clouds,RU,2022-05-16 23:32:49
26,Clyde River,70.4692,-68.5914,28.63,86,20,9.22,few clouds,CA,2022-05-16 23:32:50
27,Ushuaia,-54.8,-68.3,40.66,87,75,16.11,light intensity drizzle,AR,2022-05-16 23:28:52
28,Lebu,-37.6167,-73.65,52.57,71,8,3.09,clear sky,CL,2022-05-16 23:32:51
29,Faanui,-16.4833,-151.75,80.19,75,88,14.83,light rain,PF,2022-05-16 23:32:52
30,Shimoda,34.6667,138.95,62.96,85,100,6.67,light rain,JP,2022-05-16 23:32:52
31,Kendari,-3.945,122.4989,76.14,91,100,0.51,overcast clouds,ID,2022-05-16 23:32:53
32,Port Alfred,-33.5906,26.891,70.56,50,0,11.05,clear sky,ZA,2022-05-16 23:32:54
33,Longyearbyen,78.2186,15.6401,28.24,93,75,2.3,light rain and snow,SJ,2022-05-16 23:32:55
34,Hobart,-42.8794,147.3294,51.22,74,75,12.66,broken clouds,AU,2022-05-16 23:32:55
35,Kibala,9.1104,18.3463,81.5,58,24,4.52,few clouds,TD,2022-05-16 23:32:56
36,Dharchula,29.85,80.5333,69.39,47,44,6.87,scattered clouds,IN,2022-05-16 23:32:58
37,Saint-Philippe,-21.3585,55.7679,71.19,82,78,12.93,light rain,RE,2022-05-16 23:32:58
38,Rikitea,-23.1203,-134.9692,77.4,73,16,18.01,few clouds,PF,2022-05-16 23:32:59
39,Santa Ana,33.7456,-117.8678,85.95,62,0,13.8,clear sky,US,2022-05-16 23:32:54
